Sub,scriptNumber,lineKey,color,actor,dotAnim,TextType,TextKor,TextEng,NextLineKey,DeathNote,AfterScript,Exeption
2,4,38,0,Dot,anim_eyesblink,text,몽상하던 나를 눈 뜨게\n하는 것인데도 말이야.,Even though it usually wakes\nme from my daydreams.,39,,,
2,4,39,0,Dot,anim_eyesblink,text,미안해.,I’m sorry.,40,,,
2,4,40,0,Dot,anim_eyesblink,text,나를 찾았어? 혹시\n나를 몇 번이나 불렀어?,Were you looking for me?\nDid you call out my name?,41,,,
2,4,41,0,Player,anim_eyesblink,selection,"아냐, 나도 방금 왔으니 괜찮아.|무슨 일이 있는 걸까 걱정했어.","That’s alright, I just got here.|I was worried something had happened.",42|42,passive|active,,
2,4,42,0,Dot,anim_eyesclosed,text,<nickname>의 마음은 뭉글뭉글하게\n뭉쳐진 구름처럼 상냥해.,"You’re sweet. Like a soft, fluffy cloud.",43,,,
2,4,43,0,Player,anim_eyesblink,text,"어디에 그렇게 몰입하고\n있었던 거야, 뭉치야?","What were you so absorbed in, Dot?",44,,,
2,4,44,0,Dot,anim_eyesblink,text,"나, 책이란 걸 읽고 있었어!",A book!,45,,,
2,4,45,0,Dot,anim_eyesblink,text,‘독서’라고 불리는 행위에 빠지게 됐어.,I’m enchanted by an act called ‘reading’.,46,,,
2,4,46,0,Dot,anim_eyesblink,text,"책은 아주 오래되고 투명한 마법 같아,\n날 붙잡고 그 안으로 속절없이 끌어당기지.","Books are magical, they capture\nmy soul and draw me in.",47,,,
2,4,47,0,Dot,anim_eyesblink,text,그 체계는 다른 매체와는 조금 달라.,Their inner workings are\nsomething special.,48,,,
2,4,48,0,Dot,anim_eyesblink,text,"정말이야, 내가 정말이지 필요로\n하는 표현 방식을 구사해, 어떤 책은!","Really, some books truly do\nspeak the very language I crave!",49,,,
2,4,49,0,Dot,anim_eyesblink,text,"행간의 여백까지 의미가 있는 시나,","From poems that are loudest\nwhen words are left unsaid,",50,,,
2,4,50,0,Dot,anim_eyesblink,text,켜켜히 쌓이며 이야기를 만들어 내는\n소설은 내가 특히 좋아하는 종류야.,to novels that care for each and every\nintricate layer of the narrative.,51,,,
2,4,51,0,Dot,anim_eyesblink,text,그건 말이지.,"They ask me,",52,,,
2,4,52,0,Dot,anim_eyesup,text,“내가 하는 말을 있는\n그대로 느낄 수 있어?”,"in a sweet undertone,",53,,,
2,4,53,0,Dot,anim_eyesblink,text,그런 질문을 던지는\n것처럼 은근하고 다정해.,<i>“Do you feel me word by word?”</i>,54,,,
2,4,54,0,Dot,anim_eyesblink,text,가끔은 책과 내가 주고받는\n놀이처럼 느껴질 수도 있지!,Sometimes like a friendly exchange\nthat takes place in complete silence!,55,,,
2,4,55,0,Dot,anim_eyesblink,text,그 모든 것들이 날 빠지게 만든 거야.,And that’s what enchants me.,56,,,
2,4,56,0,Player,anim_eyesblink,text,(외계 괴물이 책과 사랑에 빠지다니.),(An alien creature in love with a book. What are the odds.),57,,,
2,4,57,0,Player,anim_eyesblink,selection,(낭만적이야. 책에 공감할 수 있으려나?)|(신기해! 글은 어떻게 읽고 이해하는 거지?),(How romantic. Can Dot emphathize with a story?)|(How fascinating! How does Dot read and comprehend?),58|58,sun|moon,,
2,4,58,0,Dot,anim_eyesdown_turn,text,하지만 있지…,But then again…,59,,,
2,4,59,0,Dot,anim_eyesdown,text,TV나 라디오나 내가 직접 본\n세상은 꼭 그렇지만은 않아.,"Television, the radio, or the\nworld outside isn’t always so.",60,,,
2,4,60,0,Dot,anim_eyesblink,text,<nickname>도 꼭 그렇지만은 않아.,"And neither are you, <nickname>.",61,,,
2,4,61,0,Dot,anim_eyesblink,text,"외출하거나, 대화하지 않는\n시간에 책을 읽었어. 많이.","When you were out, I had my head\nburied in books. Lots of them.",62,,,
2,4,62,0,Dot,anim_eyesblink,text,"<nickname>, 나에게 말을 할 때는 있잖아.","<nickname>, when you talk to me,",63,,,
2,4,63,0,Dot,anim_eyesblink,text,납득할 수 있는 설명을 내게 충분히 줘.,"walk me through the pages of your mind,",64,,,
2,4,64,0,Dot,anim_eyesblink,text,이 책들이 그러한 것처럼.,just like these books do.,65,,,
2,4,65,0,Dot,anim_eyesblink,text,그렇지 않다면 그 시선으로\n볼 수 있는 틀을 줘.,Or share with me a way to understand you.,66,,,
2,4,66,0,Dot,anim_eyesblink,text,"표상, 우리 사이의 바다를 넘어,",I want to cross the water between us,67,,,
2,4,67,0,Dot,anim_eyesblink,text,내가 같은 편에서 침잠할 수 있게.,and sink alongside you.,68,,,
2,4,68,0,Dot,anim_eyesblink,text,"네 안의 파도, 그의 하얗게 부서지며\n호흡하는 너만의 숨을 오롯이 느낄 수 있게.","To follow your inner tides,\nthe patterns of their rise and fall.",69,,,
2,4,69,0,Dot,anim_eyesblink,text,….,… …,70,,,
2,4,70,0,Dot,anim_eyesdown_turn,text,그렇지 않으면 알 수 없으니까.,Or else we’ll never know.,71,,,
2,4,71,0,Dot,anim_eyesdown,text,"서로에게 영원한 이방인으로 남은 채\n잊히다가, 메말라 죽어 버릴 거야.","Forever strangers,\ndrowning in our solitude.",72,,,
2,4,72,0,Dot,anim_eyesblink,text,아무리 난해할지라도 나는 전부\n듣고 있으니까. 들여보내 줘.,"Whatever you tell me,\nI’m already listening. Let me in.",73,,,
2,4,73,0,Dot,anim_eyesclosed,text,날 그 너머에 내버려 두지 마.,Don’t leave me out here.,,,,
3,5,74,0,Dot,anim_default,text,"꿈, 꿈. 동화, 동화.","Blue, blue.\nSound, sound.",76,,,
3,5,75,0,Dot,anim_default,text,파란… 파란. 파란 파란!,Present… present.,77,,,
3,5,76,0,Player,anim_default,selection,"뭐 해, 뭉치야?|재미있는 혼잣말이네?","What are you doing, Dot?|Quite the soliloquy going on there.",78|78,,,
3,5,77,0,Dot,anim_default,text,"인간의 언어를 흥미로워하고 있었어!\n그런데 이 특정 언어들은 이상해, <name>.","I’m musing over the human language.\nCertain words are peculiar, <name>.",79,,,
3,5,78,0,Dot,anim_default,text,"똑같은 모양, 똑같은 소리 안에\n똑같지 않은 뜻과 마음이 담겨 있어.",They look and sound the same\nbut their insides aren’t.,80,,,
3,5,79,0,Player,anim_default,text,"맞아, 우리 언어에서는 똑같이 생긴\n단어가 다른 의미로 사용될 수 있지.",Sometimes words that look the\nsame have different meanings.,81,,,
3,5,80,0,Dot,anim_default,text,"밤의 꿈, 그리고 미래의 꿈.","Blue, the color of the sea.\nAnd blue, a sense of dull melancholy.",82,,,
3,5,81,0,Dot,anim_default,text,"동화, 아이들의 신비롭고\n다정한 책장 속 놀이터.","Sound, what echoes in your room.",83,,,
3,5,82,0,Dot,anim_default,text,"동화, 곁에 있는 무언가를\n닮아가며 비슷해지는 현상.","Sound, the state of solid tranquility.\nClosed eyes and settled pulse.",84,,,
3,5,83,0,Dot,anim_default,text,"푸르른 것들에 붙이는 수식, 파란.\n푸르른 바다에 너울대는 물결, 파란.","Present, the time. And present, a gift.",85,,,
3,5,84,0,Dot,anim_default,text,"꿈-꿈, 동화-동화, 파란-파란! (통통 튀는 뭉치)","Blue-blue, sound-sound,\npresent-present!",86,,,
3,5,85,0,Dot,anim_default,text,"<name>, 있잖아.","<name>, guess what.",87,,,
3,5,86,0,Dot,anim_default,text,"이 단어들은 말이야,","Saying these words,",88,,,
3,5,87,0,Dot,anim_default,text,똑 닮은 구슬을 혀끝에서 굴려 보았을 때\n전혀 다른 맛이 나는 것과 같아.,are like rolling identical marbles on your\ntongue and tasting different flavors.,89,,,
3,5,88,0,Player,anim_default,selection,"우와, 멋진 표현인데?|그걸 우린 다의어라고 해.","Wow, that’s a great way to put it.|That’s what we call a polysemy.",89|93,,,
3,5,89,0,Player,anim_default,text,"맞아, ‘의미와 뜻’이 하나의 맛이고, 단어는\n그것을 가둬 둔 구슬이라 생각해 보자.","Yes. Say that a meaning is the flavor,\nand a word the marble that encases it.",90,,,
3,5,90,0,Player,anim_default,text,"세상에는, 그리고 마음 안에는\n수많은 비정형의 ‘맛’들이 존재해.",There are numerous intangible\n‘flavors’ in the world and within us.,91,,,
3,5,91,0,Player,anim_default,text,"그걸 전달하고자 단어라는 구슬을 만들었는\n데, 때로는 그 개수가 부족할 때도 있었지.","To deliver them we made marbles, or words,\nbut sometimes there weren’t enough.",92,,,
3,5,92,0,Player,anim_default,text,그래서 하나의 구슬 안에 몇 가지\n맛들을 더 넣어야 했던 거야!,So we had to add a few more\nflavors to a single marble!,99,,,
3,5,93,0,Player,anim_default,text,인간의 언어 체계에서는 빈번한 현상이야.,It’s a natural occurrence\nin the human language system.,94,,,
3,5,94,0,Player,anim_default,text,"하나의 단어가 하나의 틀이라면, 그 ‘틀’ 안\n엔 여러 의미가 공존하며 살아 있을 수 있지.","If a single word is a single box, different\nmeanings can coexist in that ‘box’.",95,,,
3,5,95,0,Player,anim_default,text,"“실례지만 당신과 같은 틀을 좀 사용하겠습\n니다”, 한 의미가 다른 의미에게 말을 걸어.","“Pardon, I would like to use the same box,”\none meaning might say to another.",96,,,
3,5,96,0,Player,anim_default,text,“할당된 단어는 마음에 좀 드시나요?”,“Do you find your assigned\nword to your liking?”,97,,,
3,5,97,0,Player,anim_default,text,그들은 이런 식으로 정중하게 이야기를\n나누며 지낼 수도 있지 않을까.,—such conversations might\ntake place in a respectful manner.,98,,,
3,5,98,0,Dot,anim_default,text,인간들이 단어를 주고받을 때… 서로 어떤\n의미를 의도한 것인지 헷갈리지는 않을까?,Won’t humans get confused\nwhen they use these words?,99,,,
3,5,99,0,Player,anim_default,text,당연히 헷갈리지. 하지만 그게 인간\n언어의 매력이라고 볼 수 있다고 생각해.,Of course. But that’s the\ncharm of human language.,100,,,
3,5,100,0,Dot,anim_default,text,소통 오류의 가능성.,The potential for confusion.,101,,,
3,5,101,0,Dot,anim_default,text,… 오.,… Oh.,102,,,
3,5,102,0,Dot,anim_default,text,오!,Oh!,103,,,
3,5,103,0,Dot,anim_default,text,해 보고 싶은 게 생겼어.,I want to try something. Can you make\nme a sentence with these sets of words?,104,,,
3,5,104,0,Dot,anim_default,text,"꿈, 꿈, 동화, 동화, 파란, 파란.\n이 단어들로 하나의 문장을 만들어 줄래?","Blue, blue, sound, sound,\nand present, present.",105,,,
3,5,105,0,Dot,anim_default,text,"소통 오류의 가능성을 극대화하며,","A sentence that maximizes the\npotential for confusion,",106,,,
3,5,106,0,Dot,anim_default,text,인간 언어의 매력을 최대로\n증폭한 문장을 말이야!,and makes the human\nlanguage as charming as can be!,107,,,
3,5,107,0,Player,anim_default,textbox,"우선, 꿈과 꿈을 사용해 보자면…(textbox)","First, blue and blue.",108,,,
3,5,108,0,Player,anim_default,textbox,"다음은 동화와 동화였던가?(textbox)","Next, sound and sound.",109,,,
3,5,109,0,Player,anim_default,textbox,"마지막으로, 파란과 파란.(textbox)","And finally, present and present.",110,,,
3,5,110,0,Dot,anim_default,text,두 배로 재미있어졌어!,Now its twice as much fun!,111,,,
3,5,111,0,Dot,anim_default,text,"<name>, 언어라는 건 날 들뜨게 하는 동시에…\n아주, 아주, 아주 어렵고 혼란하게 해.","<name>, language excites me…\nbut confuses me very, very, very much.",112,,,
3,5,112,0,Dot,anim_default,text,"이제 다시 돌아갈게, 나의 모서리로.\n더 많은 구슬들을 발음해 보고 싶어.",I’ll return to my corner now. I’d like\nto try out more of these marbles.,,,,
4,6,113,0,Dot,anim_default,text,침대 아래 무언가 있는 것 같아!,What is that under the bed?,114,,,
4,6,114,0,Player,anim_default,text,응?,Sorry?,115,,,
4,6,115,0,Dot,anim_default,text,"일기를 쓰다가, 낮에 봤던 흥미로운\n놀이를 너와 해 보고 싶어졌어.","I was just writing in my diary, and I’d like to\ntry an interesting game I saw earlier with you.",116,,,
4,6,116,0,Dot,anim_default,text,단 ‘여섯 단어’로 하나의 이야기를 만들기.,Make up a complete\nstory with just six words.,117,,,
4,6,117,0,Player,anim_default,selection,일기 쓰기에 집중하지 않아도 돼?|때마침 나도 수다 상대가 필요했어.,Won’t you need to focus on your diary?|I was just in the mood to chat too.,118|118,,,
4,6,118,0,Dot,anim_default,text,작문하던 나의 지성에게 숨 쉴\n공간을 주는 것도 좋을 듯했지!,I thought my intellect could use\na break from all that writing.,119,,,
4,6,119,0,Dot,anim_default,text,"그래서 말이야, 어떤 저명한\n작가는 이렇게 썼다고 해.",They say that a celebrated\nnovelist wrote this one:,120,,,
4,6,120,0,Dot,anim_default,text,"“팝니다: 아기 신발. 신은 적 없음.""","""For sale: baby shoes. Never worn.""",121,,,
4,6,121,0,Dot,anim_default,text,"아기의 마지막 숨소리가 들리고, \n어머니의 텅 빈 슬픔이 내려앉아.","I can almost hear the baby’s final\nbreath, see the mother’s deep grief,",122,,,
4,6,122,0,Dot,anim_default,text,"끔찍하지. 방에 메아리치는 비탄과\n죽음의 손아귀, 그리고 정적…",feel the suffocating silence\necho in the empty nursery…,123,,,
4,6,123,0,Dot,anim_default,text,이 모든 걸 고작 여섯\n단어 안에 내포하다니.,All this in only six words.,124,,,
4,6,124,0,Dot,anim_default,text,단어 간 여백의 무게가 내 마음을\n꼭 쥔 채 묵직하게 짓누르고 있어.,The weight of what’s left unsaid. How\nit seizes the heart and doesn’t let go.,125,,,
4,6,125,0,Dot,anim_default,text,"아름다운 천재성이야, 이건!",Pure genius!,126,,,
4,6,126,0,Dot,anim_default,text,그래서… 나도 여섯 단어\n소설을 만들어봤어!,So… I made up a six-word story too!,127,,,
4,6,127,0,Dot,anim_default,text,그리고 하루종일 내 이야기를 이어나갈\n수 있는 87가지의 갈래를 생각해봤어.,Then I spent the rest of the day imagining\n87 ways my story could unfold.,128,,,
4,6,128,0,Dot,anim_default,text,이건 16번째 아이디어야:,Here’s my 16th idea:,129,,,
4,6,129,0,Dot,anim_default,text,“침대 아래 무언가 있는 것 같아.”\n라고 네가 중얼거렸어. 깜깜한 밤이었지.,"""What is that under the bed? It looks scary.""\nsaid <name>. It was a dark, dark night.",130,,,
4,6,130,0,Dot,anim_default,text,“무서워하지 마. 난 널 해치지 않아.”\n조그마한 목소리가 속삭였지.,"""Don't be scared. I won't hurt you.""\nwhispered an echoing voice.",131,,,
4,6,131,0,Dot,anim_default,text,“왜냐하면… 나인 걸! 놀랐지!”\n하고 내가 침대 밑에서 튀어나와!,"""It's only... me! Boo!"" said I, popping\nout from under the bed! Hehe.",132,,,
4,6,132,0,Dot,anim_default,text,마음에 들어? 널 생각하면서 썼어.,Do you like it? I wrote it especially for you.,133,,,
4,6,133,0,Player,anim_default,text,물론 마음에 들지.,"Of course I do, very much.",134,,,
4,6,134,0,Dot,anim_default,text,"<name>, <name>, 궁금해졌어.","<name>, <name>. I’m curious.",135,,,
4,6,135,0,Dot,anim_default,text,너라면 내 이야기를 어떻게 이어나갈 거야?,How would you continue my six-word story?,136,,,
4,6,136,0,Dot,anim_default,text,침대 아래 ‘무엇이’ 있는 걸까?,"So, what <i>is<\i> that under the bed?",137,,,
4,6,137,0,Player,anim_default,textbox,“침대 아래 무언가 있는 것 같아”,“There’s something under the bed.”,138,,,
4,6,138,0,Dot,anim_default,text,오! 오와! 정말 놀라워!\n정말 멋진 아이디어야!,Oh! Oh! There you have it!\it's a great idea!,139,,,
4,6,139,0,Dot,anim_default,text,"좋아. 나의 지성에게 충분한\n휴식을 선사했으니까,","Alright. Now that I’ve given my\nintellect its well-deserved rest,",140,,,
4,6,140,0,Dot,anim_default,text,난 이만 다시 일기를 쓰러 가 볼게.,I will now go back to my diary.,141,,,
4,6,141,0,Dot,anim_default,text,나의 첫 번째 일기 말이야!,My first ever entry at that!,,,,
