Main,ScriptNumber,LineKey,Background,Actor,AnimState,DotBody,DotExpression,TextType,KorText,EngText,NextLineKey,AnimScene,AfterScript,DeathNote
1,,70,main_door_open,Dot,main,,,text,달에서 지낼 때에도 나는 레드의 손바닥 안과\n첼로 경의 뱃살 위에 머무는 것을 가장 좋아했어.,"On the moon, my favorite spots were the\npalm of Red’s hand and Sir Cello’s plump belly.",71,,,
1,,71,main_door_open,Dot,main,,,text,바깥은 위험해 보여. 창문 밖엔 나를 품어\n줄 비좁은 어둠이 없는 것 같았어.,The world outside looks dangerous. No\nsecluded darkness to welcome me.,72,,,
1,,72,main_door_open,Dot,main,,,text,하지만 나에게는… 그게 필요해.,But I… I can’t live without it.,73,,,
1,,73,main_door_open,Player,main,,,text,안식처가 필요한 거구나.,"Oh, I see. You need shelter.",74,,,
1,,74,main_door_open,Dot,main,,,text,"응, 응. <nickname>의 방해꾼이\n되고 싶지는 않지만…","Yes, that’s it. As long as I’m not\nbothering you, <nickname>.",75,,,
1,,75,main_door_open,Player,main,,,text,흠.,Hmm.,76,,,
1,,76,main_door_open,Player,main,,,selection,(안쓰럽고 귀엽다.)|(그렇다면…),"(I’m growing fond of Dot.|(Oh, well…)",77|78,,,
1,,77,main_door_open,Dot,main,,,text,"그리고, 그리고…","And, and.",78,,,
1,,78,main_door_open,Dot,main,,,text,내가 처음 만난 인간과\n영영 작별해야 한다니.,To say goodbye to the\nfirst human I’ve ever met.,79,,,
1,,79,main_door_open,Player,main,,,text,뭉치야…,Dot…,80,,,
1,,80,main_door_open,Player,main,,,text,뭉치도 내가 처음\n만난 외계 괴물이야.,You’re the first alien creature\nI’ve ever met too.,81,,,
1,,81,main_door_open,Player,main,,,selection,(이종족이 내 방에… 조금은 걱정돼.)|(이종족과의 우정이라니… 흥미로워!),(An alien in my room… I’m a little worried.)|(Friends with an alien… could be interesting!),82|84,,,
1,,82,main_door_open,Player,main,,,text,(하지만 이빨이 많이 달린 근육\n괴물로 변할 것 같아 보이진 않지.),(But so far no signs of turning into a\nmuscular monster with too much teeth.),83,,,
1,,83,main_door_open,Player,main,,,text,"(일단 지낼 곳을 내어 주고,\n함께 시간을 보내 보자.)","(I’ll give Dot a place to stay,\nand spend some time together.)",85,,,
1,,84,main_door_open,Player,main,,,text,(지낼 곳을 내어 주고 함께 시간을\n보내면 분명 재미있을 것 같아.),(Giving Dot a place to stay and spending\ntime together should be fun.),85,,,
1,,85,main_door_open,Player,main,,,text,"좋아, 뭉치.","Alright, Dot.",86,,,
1,,86,main_door_open,Player,main,,,text,"나도 네가 갈 곳도 없이\n위험천만한 도시를 헤매다,","I wouldn’t want you to roam the\ndangerous city with no place to go,",87,,,
1,,87,main_door_open,Player,main,,,text,움직일 힘도 없이 구두 밑창에 밟히며\n고통받게 되는 건 보고 싶지 않아.,and get trampled by people’s shoes without\nbeing able to lift a finger… (if you have one.),88,,,
1,,88,main_door_open,Player,main,,,text,"밖에서 인간들을 관찰하되, 외출을 마치면\n내 장롱으로 돌아오는 걸로 하면 어때?","How about you observe humans out there,\nand return to the closet once you’re done?",89,,,
1,,89,main_door_open,Dot,main,,,text,<nickname>은 어떻게 그런\n방법을 생각해 낸 거야?,Just how did you come up\nwith a plan like that?,90,,,
1,,90,main_door_open,Player,main,,,text,"인간들은 자주 외출하고, 늘 집으로\n돌아오거든. 우리는 그걸 산책이라 불러.","Humans go out, and come home\nall the time. We call it taking a walk.",91,,,
1,,91,main_door_open,Dot,main,,,text,"산책, 산책, 산책.\n그리고 근사한 나의 공간.","Walk, walk, walk.\nAnd my very own corner.",92,,,
1,,92,main_door_open,Dot,main,,,text,이보다 좋을 수는 없어!,Life couldn’t be better!,93,,,
1,,93,main_door_open,Player,main,,,selection,(좋아하는 걸 보니 뿌듯해.)|(잘 넘긴 것 같다.),(It’s nice to see Dot so happy.)|(I think that worked.),94|94,,,
1,,94,main_door_open,Player,main,,,text,"뭉치의 인간 공부에도 도움이 되고,\n나에게도 작은 말동무가 생길 테니…","It will help your human studies,\nand I’ll have a little companion…",95,,,
1,,95,main_door_open,Player,main,,,text,서로에게 좋은 일일 거야.,This will work for both of us.,96,,,
1,,96,main_door_open,Dot,main,,,text,"응, 응. 분명 그럴 거야!","Yes, yes. I’m certain of it.",,,,
